lugar de interes,distancia min,estacion bici max,direccion de lugar de interes,bicis disponibles
Aula Municipal de Formación de Personas Adultas. Distrito Centro.,247.64845116154223,Calle Ribera de Curtidores nº 28,CALLE CASINO 5,12
Aula Municipal de Formación de Personas Adultas. Distrito Ciudad Lineal.,214.30536298551843,Avenida Marqués de Corbera nº 52,CALLE SANTA FELICIDAD 39 EN CENTRO CULTURAL ELIPA,18
Aula Municipal de Formación de Personas Adultas. Distrito San Blas - Canillejas.,2385.508204510001,Calle Gutierre de Cetina nº 77,CALLE SAN ROMAN DEL VALLE 8 EN CENTRO CULTURAL ANTONIO MACHADO,6
Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Calle Doctor Martín Arévalo.,4831.532693348284,Calle Antonio López nº 129,CALLE DOCTOR MARTIN AREVALO 2 CENTRO CULTURAL ÁGATA,19
Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Plaza Los Pinazo.,5186.293415153825,Calle Sodio nº 1B,PLAZA PINAZO 9,11
Aula ambiental La Cabaña del Retiro,132.09731661934126,Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,PASEO FERNAN NUÑEZ 10,10
Aula de estudio de Manoteras. Sala de estudio (Hortaleza),2850.5059915890865,Avenida Pío XII nº 3,CALLE CUEVAS DEL ALMANZORA 187,18
Banda Sinfónica Municipal de Madrid,1427.839483638126,Plaza Puerta del Ángel nº 4,AVENIDA PRINCIPAL 9 Teatro Auditorio Casa de Campo,17
Barajas. Unidad de Participación Ciudadana y Cooperación Público Social,8655.952536735082,Calle Gutierre de Cetina nº 77,PLAZA MERCURIO 1,6
Bibliometro,84.25403826053233,Calle Conde Duque nº 22,CALLE CONDE DUQUE 11,23
Bibliored Dolores Catarineu de Aravaca,6232.655732871269,Avenida Complutense nº 23,CALLE CAROLI 1,8
Bibliored Galileo,224.47011990353843,Calle Fernando el Católico nº 19,CALLE GALILEO 39,12
Bibliored Sala Corín Tellado,1056.5301896546084,Avenida Juan de Herrera frente a la calle Paul Guinard,CALLE SANTA POLA 22,5
Bibliored Sala León Felipe,4300.972196790217,Calle Sodio nº 1B,CALLE LEONOR GONGORA 19,11
Bibliored Salamanca,129.3774221744736,Calle Ayala nº 44,CALLE NUÑEZ DE BALBOA 40,1
Biblioteca Digital memoriademadrid,71.7394231250497,Calle Conde Duque nº 22,CALLE CONDE DUQUE 11,23
Biblioteca Histórica Municipal,19.800909134641103,Calle Conde Duque nº 22,CALLE CONDE DUQUE 9,23
Biblioteca Musical Víctor Espinós,19.800909134641103,Calle Conde Duque nº 22,CALLE CONDE DUQUE 9,23
Biblioteca Pública Municipal Aluche (Latina),3423.901233993844,Calle Caramuel nº 51,CALLE CAMARENA 10,7
Biblioteca Pública Municipal Ana María Matute (Carabanchel),392.4153411580137,Glorieta Marqués de Vadillo nº 9,CALLE ISAAC ALBENIZ 1,5
Biblioteca Pública Municipal Benito Pérez Galdós (Centro),18.890529121537565,Calle Conde Duque nº 22,CALLE CONDE DUQUE 9,23
Biblioteca Pública Municipal Ciudad Lineal (Ciudad Lineal),856.4481744952232,Calle Gutierre de Cetina nº 77,CALLE HERMANOS GARCIA NOBLEJAS 14,6
Biblioteca Pública Municipal David Gistau (Salamanca),56.314611844108526,Avenida de los Toreros nº 3,AVENIDA TOREROS 5,5
Biblioteca Pública Municipal Dámaso Alonso (Chamartín),431.8890788310135,Calle General López Pozas nº 2,CALLE MANUEL FERRERO 1,5
Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro),236.13897678530765,Avenida de Menéndez Pelayo nº 63,PASEO FERNÁN NÚÑEZ 24,18
Biblioteca Pública Municipal Francisco Ayala (Vicálvaro),1485.3049384705478,Calle Hacienda de Pavones nº 342,BULEVAR INDALECIO PRIETO 21,18
Biblioteca Pública Municipal Francisco Ibáñez (Chamartín),391.04183108052484,Avenida del Doctor Arce nº 45,CALLE MANTUANO 51,3
Biblioteca Pública Municipal Gabriel García Márquez (Usera),2471.6276968738543,Calle Antonio López nº 129,PLAZA PUEBLO 2 CENTRO CULTURAL ORCASUR,19
Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas),2829.1028560496675,Calle Hacienda de Pavones nº 342,CALLE MONTE AYA 12,18
