lugar de interes,distancia min,estacion bici max,direccion de lugar de interes,bicis disponibles
Centro Municipal de Mayores Vocal Vecino Justo Sierra,1559.6764528006122,Calle Pedro Rico nº 4,CALLE FERMIN CABALLERO 17,3
Centro Municipal de Mayores Zofio,1917.9349220089248,Calle San Delfín nº 9,CALLE RICARDO BELTRAN Y ROZPIDE 31,17
Centro Ocupacional para Personas con Discapacidad Intelectual Villaverde,5493.263418156318,Calle Antonio López nº 129,CALLE BASCUÑUELOS 1,19
Centro Social Comunitario Josefa Amar,693.6450210536373,Calle Sinesio Delgado nº 2,CALLE MATILDE LANDA 30,12
Centro Social Polivalente de Vicálvaro,3084.20718675098,Calle Hacienda de Pavones nº 342,AVENIDA REAL 12,18
Centro Socio Comunitario Colonias Históricas,787.9451108570138,Avenida Pío XII nº 3,CALLE ENRIQUE JARDIEL PONCELA 8,18
Centro Sociocultural Alberto Sánchez (Puente de Vallecas),833.1279403959794,Camino de Valderribas nº 94,CALLE RISCO DE PELOCHE 14,21
Centro Sociocultural Alfonso XII (Fuencarral - El Pardo),9359.786133927724,Avenida Complutense nº 23,CALLE MIRA EL RIO 4,8
Centro Sociocultural Almirante Churruca (Latina),6446.3141961625315,Calle Caramuel nº 51,CALLE FUENTE DEL TIRO 72,7
Centro Sociocultural Bohemios (Villaverde),3681.2928620463745,Calle Sodio nº 1B,CALLE LOS BOHEMIOS 1,11
Centro Sociocultural Ciudad Lineal,379.7976369177454,Avenida Marqués de Corbera nº 52,CALLE POETA BLAS DE OTERO 81,18
Centro Sociocultural Clara Campoamor (Retiro),191.20336300390244,Calle León Gil de Palacio nº 3,PLAZA DAOIZ Y VELARDE 2 PLANTA 1ª,10
Centro Sociocultural Cánovas del Castillo (Usera),298.17784699369565,Calle Antonio López nº 129,CALLE JULIO AGUIRRE 10,19
Centro Sociocultural Eduardo Chillida (Moratalaz),407.3971146428781,Calle Arroyo de las Pilillas nº 6,CALLE ARROYO BELINCOSO 9,18
Centro Sociocultural El Greco (Latina),2121.6557938663523,Calle Caramuel nº 51,CALLE EL GRECO 29,7
Centro Sociocultural Francisco Fatou (Villa de Vallecas),2643.6724731030135,Calle Hacienda de Pavones nº 342,CALLE MANUEL VELEZ 10,18
Centro Sociocultural García Lorca (Carabanchel),4627.659629519202,Calle Caramuel nº 51,CALLE EUGENIA DE MONTIJO 105,7
Centro Sociocultural José de Espronceda (Tetuán),115.39843644740792,Calle Doctor Santero nº 1,CALLE ALMANSA 9,2
Centro Sociocultural Juvenil de Moratalaz,254.87130255499306,Calle Hacienda de Pavones nº 342,CALLE FUENTE CARRANTONA 10,18
Centro Sociocultural Juvenil de Usera,509.59269193057355,Calle San Delfín nº 9,CALLE CUESTA 4,17
Centro Sociocultural Las Tablas (Fuencarral - El Pardo),2242.940042105362,Paseo de la Castellana nº 298,AVENIDA CAMINO DE SANTIAGO 39,13
Centro Sociocultural Latina,5310.951032938249,Calle Caramuel nº 51,CALLE RODRIGO DE ARANA 50,7
Centro Sociocultural Luis Gonzaga (Chamartín),103.62896970478016,Calle María Francisca nº 1,CALLE PRINCIPE DE VERGARA 142,4
Centro Sociocultural Maestro Alonso (Salamanca),137.211940748052,Calle Alejandro González nº 1,CALLE MAESTRO ALONSO 6,6
Centro Sociocultural Marconi (Villaverde),6033.278883643816,Calle Antonio López nº 129,ACCESO COLONIA MARCONI 4,19
Centro Sociocultural Miguel de Cervantes (San Blas - Canillejas),3395.68519727877,Calle Gutierre de Cetina nº 77,CALLE ALIAGA 5,6
Centro Sociocultural Montecarmelo (Fuencarral - El Pardo),3863.9424869695595,Calle Pedro Rico nº 4,"Carretera M-607 Km 13 L-10  Acceso por Av. Santuario de Valverde, frente al número 114b",3
Centro Sociocultural Rafael de León (Fuencarral - El Pardo),3018.7553858389942,Calle Francos Rodríguez nº 62,CALLE ISLA DE ONS 14,3
Centro Sociocultural Rosario de Acuña (Latina),551.3327441478943,Calle Caramuel nº 51,CALLE MARIA DEL CARMEN 65,7
Centro Sociocultural San Cristóbal de los Ángeles (Villaverde),5186.1125165266185,Calle Sodio nº 1B,PLAZA PINAZO 9 PLANTA 1ª,11
Centro Sociocultural San Fermín (Usera),1968.838912587552,Calle Sodio nº 1B,CALLE ESTAFETA 33,11
Centro Sociocultural Santa Petronila (Villaverde),4273.402248431274,Calle Sodio nº 1B,CALLE MARIA MARTINEZ OVIOL 12,11
Centro Sociocultural Teresa de Calcuta (Barajas),6600.010228535965,Calle Gutierre de Cetina nº 77,PLAZA NAVIO 4,6
Centro Sociocultural Tetuán,215.29470737778823,Calle San Germán nº 57,CALLE BRAVO MURILLO 251,5
Centro Sociocultural Valle Inclán (Fuencarral - El Pardo),545.2044414195094,Calle Pedro Rico nº 4,CALLE ARZOBISPO MORCILLO 7,3
Centro Sociocultural Valverde (Fuencarral - El Pardo),1554.8124610656837,Calle Pedro Rico nº 4,PLAZA ISLAS AZORES 1,3
Centro Sociocultural Ágata (Villaverde),4830.586940511807,Calle Antonio López nº 129,CALLE DOCTOR MARTIN AREVALO 2,19
Centro Vallecas Viverismo,2936.5745355333274,Calle Arroyo del Olivar nº 6,CAMINO POZO DEL TIO RAIMUNDO 6,24
Centro de Acogida 'Ciudad Lineal',128.10526310491736,Calle Fernández de la Hoz nº 29,PASEO GENERAL MARTINEZ CAMPOS 18,9
Centro de Acogida Temporal para Inmigrantes 'San Blas',2020.5747102860544,Calle Gutierre de Cetina nº 77,CALLE VALDECANILLAS 112 ENTRADA POR C/ CASTILLO DE UCLES,6
Centro de Acogida de Emergencia de Campaña contra el Frío Pinar de San José.,7366.88618067613,Calle Caramuel nº 51,CALLE PINAR DE SAN JOSE 106,7
Centro de Apoyo a las Familias CAF 1,170.0307848058398,Calle Santa Engracia nº 14,CALLE HERMANOS ALVAREZ QUINTERO 7,16
Centro de Apoyo a las Familias CAF 2,2005.980314827048,Calle Carlota O'Neill nº 32,CALLE MATAPOZUELOS 6,14
Centro de Apoyo a las Familias CAF 4,1246.922573132841,Calle Arroyo del Olivar nº 6,CALLE CONDE RODRIGUEZ SAN PEDRO 59,24
Centro de Apoyo a las Familias CAF 5,209.24542393851715,Calle Hacienda de Pavones nº 342,CALLE FUENTE CARRANTONA 12 PLANTA BAJO,18
Centro de Apoyo a las Familias CAF 6,156.01577876736897,Calle San Germán nº 57,CALLE SAN ENRIQUE 16 PLANTA 2ª,5
Centro de Apoyo a las Familias CAF 7,5227.6561912392835,Calle Caramuel nº 51,CALLE FUERTE DE NAVIDAD 15,7
Centro de Atención a la Infancia CAI 1 Centro / Arganzuela,132.46732412738808,Glorieta de la Puerta de Toledo nº 1,CALLE PALOMA 23,13
Centro de Atención a la Infancia CAI 10 Villaverde,4493.351572975195,Calle Antonio López nº 129,CALLE VILLALONSO 12 Centro Municipal Lourdes Ibáñez de Gauna,19
Centro de Atención a la Infancia CAI 2 Hortaleza / Ciudad Lineal,3339.5472589969677,Calle Carlota O'Neill nº 32,CALLE RAMON POWER 60,14
Centro de Atención a la Infancia CAI 4 Villa de Vallecas,6395.598455403224,Calle Hacienda de Pavones nº 342,AVENIDA ENSANCHE DE VALLECAS (esquina C/ Fernando Chueca Goitia) 91,18
Centro de Atención a la Infancia CAI 5 Tetuán / Chamartín,156.01577876736897,Calle San Germán nº 57,CALLE SAN ENRIQUE 16 PLANTA 2ª,5
Centro de Atención a la Infancia CAI 6 Latina,3066.7679228250113,Calle Caramuel nº 51,CALLE ALVERJA 11,7
Centro de Atención a la Infancia CAI 9 Fuencarral-El Pardo / Moncloa-Aravaca,1998.9180172049846,Calle Francos Rodríguez nº 62,CALLE BUITRAGO DEL LOZOYA 22 Centro de Servicios Sociales San Vicente de Paúl,3
Centro de Atención a las Adicciones (CAD) de Arganzuela,58.729086969190405,Paseo de la Chopera nº 14,PASEO CHOPERA 12,4
Centro de Atención a las Adicciones (CAD) de Hortaleza,3087.1089714142886,Calle Carlota O'Neill nº 32,CALLE MINAYA 7,14
Centro de Atención a las Adicciones (CAD) de Latina,3423.901233993844,Calle Caramuel nº 51,CALLE CAMARENA 10,7
Centro de Atención a las Adicciones (CAD) de San Blas,1991.3163714939578,Calle Gutierre de Cetina nº 77,CALLE ALCALA 527,6
Centro de Atención a las Adicciones (CAD) de Tetuán,990.0539428394632,Calle Azucenas nº 1,CALLE PINOS ALTA 122,12
Centro de Atención a las Adicciones (CAD) de Vallecas,138.23879611898576,Calle Arroyo del Olivar nº 6,CALLE CONCORDIA 17,24
Centro de Atención a las Adicciones (CAD) de Villaverde,4526.866973908478,Calle Antonio López nº 129,CALLE VERDE VIENTO 16,19
Centro de Atención integral sociosanitaria nocturno,210.30764059275256,Calle Santa Engracia nº 14,CALLE HERMANOS ALVAREZ QUINTERO 3,16
Centro de Ciberseguridad del Ayuntamiento de Madrid (CCMAD),1149.978212296386,Calle Gutierre de Cetina nº 77,CALLE ALBARRACIN 33,6
Centro de Cultura Contemporánea Conde Duque,18.34592667767724,Calle Conde Duque nº 22,CALLE CONDE DUQUE 9 y 11,23
Centro de Diagnóstico Médico,140.94123534097136,Calle Ortega y Gasset nº 87,CALLE MONTESA 22,3
Centro de Día Infantil del Distrito Arganzuela (en CEIP Menéndez Pelayo),254.16500157001616,Paseo de la Infanta Isabel nº 3,CALLE MENDEZ ALVARO 16,26
Centro de Día Infantil del Distrito Carabanchel 2 (en CEIP Capitán Cortés),3507.741136912314,Glorieta Marqués de Vadillo nº 9,CALLE MONSEÑOR OSCAR ROMERO 17 CEIP  CAPITÁN CORTÉS,5
Centro de Día Infantil del Distrito Centro 1 (en sede Cruz Roja),150.96100533277374,Calle San Vicente Ferrer nº 64,CALLE POZAS 14 EN CENTRO CRUZ ROJA,21
Centro de Día Infantil del Distrito Chamberí (en CEIP Fernando el Católico),102.03985327936418,Calle Fernando el Católico nº 19,CALLE FERNANDO EL CATOLICO 16 CEIP FERNANDO EL CATÓLICO,12
Centro de Día Infantil del Distrito Ciudad Lineal (en CEIP Ghandi),831.2992250535466,Calle Gutierre de Cetina nº 77,CALLE GANDHI 10,6
Centro de Día Infantil del Distrito Hortaleza (en Centro Santiago Apóstol),2745.32284690149,Avenida Pío XII nº 3,CALLE CARRION DE LOS CONDES 73 CENTRO JUVENIL SANTIAGO APOSTOL,18
Centro de Día Infantil del Distrito Latina 1 (en CEIP Ciudad de Badajoz),3103.434447567885,Calle Caramuel nº 51,CALLE FRAY JOSE CERDEIRIÑA 51,7
Centro de Día Infantil del Distrito Moratalaz (en CEIP Fontarron),966.5244327319249,Calle Camino de los Vinateros nº 108,CALLE ENCOMIENDA DE PALACIOS 52 CEIP FONTARRON,18
Centro de Día Infantil del Distrito Puente de Vallecas 2 (en CEIP Javier de Miguel),1286.6302777365556,Calle Arroyo del Olivar nº 6,CALLE PUERTO DE VIÑAMALA 3 CEIP JAVIER DE MIGUEL,24
Centro de Día Infantil del Distrito Retiro (en CEIP Ciudad de Roma),315.4200438420614,Calle Alcalde Sáinz de Baranda frente al nº 107,CALLE JUAN ESPLANDIU 2 CEIP CIUDAD DE ROMA,3
Centro de Día Infantil del Distrito San Blas-Canillejas 2 (en CEIP República de Chile),1816.964341270218,Calle Gutierre de Cetina nº 77,CALLE CASTILLO DE UCLES 28 CEIP REPÚBLICA DE CHILE,6
Centro de Día Infantil del Distrito Tetuán 1 (en Centro Social Comunitario Josefa Amar),693.9047961264522,Calle Sinesio Delgado nº 2,CALLE MATILDE LANDA 30 CENTRO SOCIAL COMUNITARIO JOSEFA AMAR,12
Centro de Día Infantil del Distrito Tetuán 2 (en CEIP Felipe II),1120.496009746388,Calle Azucenas nº 1,AVENIDA ASTURIAS 70,12
Centro de Día Infantil del Distrito Villaverde 1 (en CEIP Navas de Tolosa),5032.065080471251,Calle Sodio nº 1B,CALLE BENIMAMET 109 CEIP NAVAS DE TOLOSA,11
Centro de Día Infantil del Distrito Villaverde 2 (en CEIP Cristóbal Colón),4351.376861494805,Calle Antonio López nº 129,CARRETERA CARABANCHEL A VILLAVERDE 109 CEIP CRISTÓBAL COLÓN,19
Centro de Día Municipal 'Acuario',8466.178544610386,Calle Carlota O'Neill nº 32,CALLE ACUARIO 27,14
Centro de Día Municipal 'Almorox Cognitivo',900.4362618119881,Calle Francos Rodríguez nº 62,CALLE ALMOROX 6,3
Centro de Día Municipal 'Almorox Físico',900.4362618119881,Calle Francos Rodríguez nº 62,CALLE ALMOROX 6,3
Centro de Día Municipal 'Arganzuela',173.78466169054158,Calle Palos de la Frontera nº 27,CALLE CANARIAS 17,8
Centro de Día Municipal 'Ascao',166.35915136580115,Calle Gutierre de Cetina nº 77,CALLE ASCAO 4,6
Centro de Día Municipal 'Aurora Villa Cognitivo',746.691818260221,Glorieta Marqués de Vadillo nº 9,CALLE MERCEDES ARTEAGA 18,5
Centro de Día Municipal 'Aurora Villa Físico',746.691818260221,Glorieta Marqués de Vadillo nº 9,CALLE MERCEDES ARTEAGA 18,5
Centro de Día Municipal 'Canal de Panamá',451.00987835793137,Calle Carlota O'Neill nº 32,CALLE CANAL DE PANAMA 8,14
Centro de Día Municipal 'Carmen Conde',139.71431947659715,Calle Atocha nº 54,CALLE AVE MARIA 6,14
Centro de Día Municipal 'Carmen Laforet',2156.117994182161,Paseo de la Castellana nº 298,CALLE DALIA 5,13
Centro de Día Municipal 'Carmen Sevilla',6395.598455403224,Calle Hacienda de Pavones nº 342,AVENIDA ENSANCHE DE VALLECAS 91,18
Centro de Día Municipal 'Casa de Campo',936.1098781915628,Plaza Puerta del Ángel nº 4,CALLE PRINCIPAL DE PROVINCIAS 21,17
Centro de Día Municipal 'Casino de la Reina',214.57300341358626,Calle Ribera de Curtidores nº 28,CALLE CASINO 5,12
Centro de Día Municipal 'Castillo de Uclés',1985.7152747749687,Calle Gutierre de Cetina nº 77,CALLE CASTILLO DE UCLES 35 PLANTA 1ª ESQUINA VIRGEN DE LA OLIVA,6
Centro de Día Municipal 'Ciudad Pegaso Cognitivo',5370.8452477316605,Calle Gutierre de Cetina nº 77,AVENIDA QUINTA 5,6
Centro de Día Municipal 'Ciudad Pegaso Físicos',5370.8452477316605,Calle Gutierre de Cetina nº 77,AVENIDA QUINTA 5,6
Centro de Día Municipal 'Concepción Arenal',2652.445190452164,Calle Carlota O'Neill nº 32,CALLE JAVIER DEL QUINTO 12,14
Centro de Día Municipal 'El Pardo Cognitivo',8734.929303535699,Avenida Complutense nº 23,CALLE GENERAL URRUTIA 1,8
Centro de Día Municipal 'El Pardo Físico',8734.929303535699,Avenida Complutense nº 23,CALLE GENERAL URRUTIA 1,8
Centro de Día Municipal 'Entrevías',1974.0223306075993,Calle Arroyo del Olivar nº 6,CALLE YUSTE 8,24
Centro de Día Municipal 'Escuelas de San Antón',89.7718862734614,Calle Hortaleza nº 63,CALLE SANTA BRIGIDA 12,24
Centro de Día Municipal 'Esfinge Cognitivo',3793.033460985342,Calle Gutierre de Cetina nº 77,CALLE ESFINGE 35 PLANTA baja,6
Centro de Día Municipal 'Esfinge Físico',3793.033460985342,Calle Gutierre de Cetina nº 77,CALLE ESFINGE 35 PLANTA baja,6
Centro de Día Municipal 'Francisco de Goya',5311.273396281177,Glorieta Marqués de Vadillo nº 9,CALLE ALFREDO ALEIX 3,5
Centro de Día Municipal 'Fray Luis de León',1199.1723563748076,Calle Pedro Rico nº 4,CALLE MANRESA 1,3
Centro de Día Municipal 'Fátima de Madrid',272.3825566930986,Avenida de la Albufera nº 6,CALLE SIERRA DE LOS FILABRES 15,15
Centro de Día Municipal 'Gallur',1974.6839325716683,Calle Caramuel nº 51,CALLE GALLUR 417,7
Centro de Día Municipal 'Gertrudis de la Fuente Cognitivo',1833.2657659940623,Calle Caramuel nº 51,CALLE GERTRUDIS DE LA FUENTE 2,7
Centro de Día Municipal 'Gertrudis de la Fuente Físico',1833.2657659940623,Calle Caramuel nº 51,CALLE GERTRUDIS DE LA FUENTE 2,7
Centro de Día Municipal 'Isaac Rabin',190.30075769950403,Calle Camino de los Vinateros nº 108,AVENIDA MORATALAZ 134,18
Centro de Día Municipal 'Jazmín',2201.4951156359693,Paseo de la Castellana nº 298,CALLE JAZMÍN 48 PLANTA BAJA,13
Centro de Día Municipal 'José Manuel Bringas',2413.9868103455096,Calle Antonio López nº 129,CALLE CAMINO VIEJO DE VILLAVERDE 26,19
Centro de Día Municipal 'José Villareal',191.18066400743368,Paseo de la Chopera nº 14,CALLE GUILLERMO DE OSMA 14,4
Centro de Día Municipal 'Juan Pablo II',409.5473915668533,Avenida Pío XII nº 3,CALLE PALMITO 1 PLANTA BAJA C/V A MADRE DE DIOS,18
Centro de Día Municipal 'La Guindalera',203.87721816894498,Calle Cartagena nº 34,CALLE PILAR DE ZARAGOZA 28,1
Centro de Día Municipal 'La Magdalena',3795.4351957675744,Calle Caramuel nº 51,CALLE MONSEÑOR OSCAR ROMERO 75,7
Centro de Día Municipal 'La Remonta',53.19373095691247,Calle Azucenas nº 1,PLAZA REMONTA 12,12
Centro de Día Municipal 'Leñeros Cognitivo',329.81031539975857,Calle Francisco Balseiro nº 1,CALLE LEÑEROS 25 PLANTA 2ª y 3ª,2
Centro de Día Municipal 'Leñeros Físico',329.81031539975857,Calle Francisco Balseiro nº 1,CALLE LEÑEROS 25 PLANTA 2ª y 3ª,2
Centro de Día Municipal 'Loyola de Palacio',2583.2783647763326,Calle Sodio nº 1B,CALLE SILVINA 10 PLANTA BAJA,11
Centro de Día Municipal 'Luis Peidró',413.6410261441802,Calle Retama nº 5,CALLE LUIS PEIDRO 2,16
Centro de Día Municipal 'Margarita Retuerto',274.00039317776515,Avenida de los Toreros nº 49,CALLE FRANCISCO ALTIMIRAS 4,9
Centro de Día Municipal 'María Teresa León',291.3126146910199,Calle Fernández de la Hoz nº 29,CALLE RAFAEL CALVO 8,9
Centro de Día Municipal 'Miguel Delibes Cognitivo',3395.581017431464,Calle Sodio nº 1B,AVENIDA FELICIDAD 24,11
Centro de Día Municipal 'Miguel Delibes Físico',3395.581017431464,Calle Sodio nº 1B,AVENIDA FELICIDAD 24,11
Centro de Día Municipal 'Mora de Rubielos',3776.826143466176,Calle Gutierre de Cetina nº 77,PLAZA VILLA DE CANILLEJAS 4,6
Centro de Día Municipal 'Moratalaz',456.0587788395235,Calle Arroyo de las Pilillas nº 6,CALLE ARROYO BELINCOSO 13 PLANTA 3ª,18
Centro de Día Municipal 'Nicanor Barroso',847.142414428691,Calle Hacienda de Pavones nº 342,CALLE ENCOMIENDA DE PALACIOS 190 PLANTA 3ª,18
Centro de Día Municipal 'Orcasur',2326.164571317514,Calle Antonio López nº 129,AVENIDA ORCASUR 60,19
Centro de Día Municipal 'Pablo Casals Cognitivo',2114.974278491138,Calle Gutierre de Cetina nº 77,CALLE POBLADURA DEL VALLE 13 PLANTA BAJA,6
Centro de Día Municipal 'Pablo Casals Físico',2114.974278491138,Calle Gutierre de Cetina nº 77,CALLE POBLADURA DEL VALLE 13 PLANTA BAJA,6
Centro de Día Municipal 'Pablo Neruda',2017.9886589006755,Calle Hacienda de Pavones nº 342,CALLE GERARDO DIEGO 8 C/V A C/ LOS EXTREMEñOS,18
Centro de Día Municipal 'Pamplona',254.84923446207856,Calle Navarra nº 1,CALLE PAMPLONA 14,3
Centro de Día Municipal 'Parque Querol',2288.3347257573855,Calle Rodríguez Jaén nº 40,"CALLE VELEZ RUBIO, 1-C ",11
Centro de Día Municipal 'Peñagrande',2466.482146708479,Calle Francos Rodríguez nº 62,CALLE ISLA MALAITA 13,3
Centro de Día Municipal 'Retiro',201.07927430764718,Calle Doctor Esquerdo nº 99,CALLE JOSE MARTINEZ DE VELASCO 22,20
Centro de Día Municipal 'San Crispín',250.4751303123595,Plaza Puerta del Ángel nº 4,CALLE OBERTURA 6,17
Centro de Día Municipal 'San Luciano',2916.778554869051,Calle Antonio López nº 129,CALLE SAN LUCIANO 8,19
Centro de Día Municipal 'San Vicente de Paúl',1534.8903079998192,Glorieta Marqués de Vadillo nº 9,CALLE ANTONIA LANCHA 54,5
Centro de Día Municipal 'Santa Engracia',239.246151695664,Calle Santa Engracia nº 127," SANTA ENGRACIA, 118 ",13
Centro de Día Municipal 'Teresa de Calcuta',6598.775106737758,Calle Gutierre de Cetina nº 77,PLAZA NAVIO 4,6
Centro de Día Municipal 'Vicálvaro',2838.5979688943903,Calle Hacienda de Pavones nº 342,AVENIDA DAROCA 342,18
Centro de Día Municipal 'Villa de Vallecas',3599.2041387636177,Calle Hacienda de Pavones nº 342,CALLE FUENTIDUEÑA 16,18
Centro de Día Municipal 'Vocal Vecino Justo Sierra',1546.5495197567716,Calle Pedro Rico nº 4,CALLE FERMIN CABALLERO 17,3
Centro de Día Privado 'Albertia Moratalaz',450.63005211774885,Calle Hacienda de Pavones nº 342,CALLE HACIENDA DE PAVONES 261,18
Centro de Día Privado 'Asispa Nueva Edad',372.41966414218325,Calle Derechos Humanos nº 12,CALLE MARTÍNEZ VILLERGAS 8,7
Centro de Día Privado 'Asispa Virgen de África',134.07328314535104,Calle Derechos Humanos nº 12,CALLE CESAR GONZALEZ RUANO 7,7
Centro de Día Privado 'Casablanca',11051.974017128121,Avenida Complutense nº 23,AVENIDA VICTORIA 74,8
Centro de Día Privado 'Centro Madrid',3900.1832894540917,Calle Caramuel nº 51,CALLE SESEÑA 32,7
Centro de Día Privado 'Doctor Espina',1586.1764882824475,Glorieta Marqués de Vadillo nº 9,CALLE DOCTOR ESPINA 16,5
Centro de Día Privado 'DomusVi Chamartín',444.96105394708707,Calle Santa Hortensia nº 31,CALLE ANTONIO SALCES 1,8
Centro de Día Privado 'El Bosque',255.08790779562517,Paseo Marqués de Zafra nº 24,CALLE LOS PEÑASCALES 14,2
Centro de Día Privado 'Geriacen',476.63801997171123,Calle Pedro Rico nº 4,CALLE VIRGEN DE ARANZAZU 1,3
Centro de Día Privado 'Manava',576.9026493415355,Calle Francos Rodríguez nº 62,CALLE ISLA DE GOMERA 13,3
Centro de Día Privado 'Montserrat Caballé',6947.30635875678,Calle Gutierre de Cetina nº 77,CALLE BAHIA DE SANTA POLA 2,6
Centro de Día Privado 'Nuestros Abuelos',2307.4684132017583,Glorieta Marqués de Vadillo nº 9,CALLE MANUEL LAMELA 13,5
Centro de Día Privado 'Proade',726.4466823364901,Calle San Delfín nº 9,CALLE EDUARDO RIVAS 18 PLANTA BAJO A,17
Centro de Día Privado 'SalusMayores Chamartín',420.4295247776721,Calle Colombia nº 7,CALLE URUGUAY 21 PLANTA BAJO,6
Centro de Día Privado 'SalusMayores Ríos Rosas',215.16742209147353,Calle Santa Engracia nº 127,CALLE ALENZA 3,13
Centro de Día Privado 'Sanivida Ciudad Lineal',618.9527992106138,Calle Gutierre de Cetina nº 77,CALLE AMOS DE ESCALANTE 4,6
Centro de Día Privado 'Sanivida Latina',5294.4122911747145,Calle Caramuel nº 51,CALLE DOCTOR BLANCO SOLER 20 PLANTA BAJO,7
Centro de Día Privado 'Sanivida Puente de Vallecas',300.7564726659516,Camino de Valderribas nº 94,CALLE SIERRA DE LOS FILABRES 69 PLANTA BAJO,21
Centro de Día Privado 'Sanivida Salamanca',256.6266559214355,Avenida de los Toreros nº 49,CALLE DOCTOR GOMEZ ULLA 22,9
Centro de Día Privado 'Stima Aluche',2726.994467748646,Calle Caramuel nº 51,CALLE CARLOS DOMINGO 19,7
Centro de Día Privado 'Valleluz I',675.8745973423534,Calle Antonio López nº 129,CALLE ANTONIO SALVADOR 79,19
Centro de Día Privado 'Valleluz II',741.2395552409093,Calle Antonio López nº 129,CALLE RAMÓN LUJÁN 78,19
Centro de Día Privado 'Vivedía Cognitivo',1190.6467963815521,Calle Antonio López nº 129,CALLE LUIS USERA 4,19
Centro de Día Privado 'Vivedía Físico',1190.6467963815521,Calle Antonio López nº 129,CALLE LUIS USERA 4,19
Centro de Día para Personas con Discapacidad Intelectual Navas de Tolosa,5032.065080471251,Calle Sodio nº 1B,CALLE BENIMAMET 109,11
Centro de Educación Ambiental y Cultural Maris Stella (Usera),1680.5674081670697,Calle Antonio López nº 129,CALLE DOCTOR TOLOSA LATOUR 16,19
Centro de Formación de Barajas,6567.231972837848,Calle Gutierre de Cetina nº 77,AVENIDA CANTABRIA 6,6
Centro de Formación de Oficios de Usera,2563.8014354759175,Calle Antonio López nº 129,CALLE GINEBRO 1,19
Centro de Información Juvenil. Negociado de Recursos Juveniles,215.4392649578025,Paseo de la Chopera nº 14,PASEO CHOPERA 41,4
Centro de Información sobre Colonias Felinas y Tenencia Responsable de Animales en nuestra Ciudad,152.98874774520343,Avenida de Menéndez Pelayo esquina calle O'Donnell,PASEO FERNAN NUÑEZ 28,9
Centro de Información y Educación Ambiental El Huerto de El Retiro,297.65066303456587,Avenida de Alfonso XII nº 54,PASEO FERNAN NUÑEZ 2,5
Centro de Información y Educación Ambiental de Casa de Campo,545.3706178862534,Plaza Puerta del Ángel nº 4,PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO) ,17
Centro de Información y Educación Ambiental de Dehesa de la Villa,1176.3359952190358,Calle Francos Rodríguez nº 62,PARQUE DEHESA DE LA VILLA ACCESO POR C/ FRANCOS RODRÍGUEZ FRENTE AL INSTITUTO VIRGEN DE LA PALOMA,3
Centro de Interpretación de la Naturaleza Montecarmelo (Fuencarral - El Pardo),3863.9424869695595,Calle Pedro Rico nº 4,"Carretera M-607 Km 13 L-10  Acceso por Av. Santuario de Valverde, frente al número 114b",3
Centro de Patología Dual,1540.8521982284092,Calle Santa Hortensia nº 31,CALLE LOPEZ DE HOYOS 259 DISPOSITIVO DE HOSPITALIZACION,8
Centro de Prevención de Deterioro Cognitivo,140.94123534097136,Calle Ortega y Gasset nº 87,CALLE MONTESA 22 Edificio B,3
Centro de Prevención de Riesgos Laborales Fabiola de Mora y Aragón,1246.146680538568,Avenida Complutense nº 23,CARRETERA DEHESA DE LA VILLA 1,8
Centro de Protección Animal,7506.302076997796,Calle Caramuel nº 51,CARRETERA BARRIO DE LA FORTUNA 33,7
Centro de Salud Bucodental,3323.3660490716384,Calle Sodio nº 1B,AVENIDA FELICIDAD 17,11
Centro de Servicios Sociales Aravaca,6354.341509657353,Avenida Complutense nº 23,CALLE ZARZA 20,8
Centro de Servicios Sociales Badalona,1665.4662126746387,Calle Pedro Rico nº 4,CALLE BADALONA 122,3
Centro de Servicios Sociales Calahorra,2541.0369514107215,Calle Hacienda de Pavones nº 342,CALLE CALAHORRA 11,18
Centro de Servicios Sociales Canal de Panamá,392.0039629519899,Calle Derechos Humanos nº 12,CALLE PADRE COLOMA 2,7
Centro de Servicios Sociales Concepción Arenal,2652.445190452164,Calle Carlota O'Neill nº 32,CALLE JAVIER DEL QUINTO 12,14
Centro de Servicios Sociales Dehesa de la Villa.,1727.3490188054202,Calle Francos Rodríguez nº 62,CALLE ANTONIO MACHADO 22,3
Centro de Servicios Sociales Eduardo Minguito,4551.720030032867,Calle Sodio nº 1B,CALLE LEONOR GONGORA 62 con vuelta a la C/ Eduardo Minguito.,11
Centro de Servicios Sociales El Querol,2287.857468040637,Avenida Pío XII nº 3,CALLE VELEZ RUBIO 1,18
Centro de Servicios Sociales Entrevías,1974.0223306075993,Calle Arroyo del Olivar nº 6,CALLE YUSTE 8,24
Centro de Servicios Sociales Fuente Carrantona,183.45642337706212,Calle Hacienda de Pavones nº 342,CALLE FUENTE CARRANTONA 12,18
Centro de Servicios Sociales Fuerte de Navidad,5227.6561912392835,Calle Caramuel nº 51,CALLE FUERTE DE NAVIDAD 15,7
Centro de Servicios Sociales Gallur,1910.2602267064813,Calle Caramuel nº 51,CALLE GALLUR 24,7
Centro de Servicios Sociales Guindalera,203.87721816894498,Calle Cartagena nº 34,CALLE PILAR DE ZARAGOZA 28,1
